,ibovespa,dow_jones,hang_seng,nasdaq,nifty,nikkei,semiconductor,sp500,saudi,shanghai,south_africa
ibovespa,1.0,0.42930681476417965,0.0694336620656598,0.4470518467559132,-0.055814695500264126,0.07624664556801458,0.4628686865999317,0.46487943311361873,0.09878803047235168,-0.053343468229079004,0.02398057867946464
dow_jones,0.42930681476417965,1.0,0.07636927330080077,0.8260721437210706,-0.12025247486375791,-0.17523686610202746,0.7304205150720317,0.9085199772209561,-0.056110324345905425,0.12750525277578467,-0.1803212325549479
hang_seng,0.0694336620656598,0.07636927330080077,1.0,-0.022942065670982035,0.38843354152228166,0.318368445807968,0.07100431520227594,0.005873002012676831,0.021139308518863205,0.4731709341645869,0.2704467318734273
nasdaq,0.4470518467559132,0.8260721437210706,-0.022942065670982035,1.0,-0.21828430639303392,-0.21847007019484227,0.9063261566444316,0.9755776077793528,-0.10274887448007165,0.05269993050244578,-0.284605587229064
nifty,-0.055814695500264126,-0.12025247486375791,0.38843354152228166,-0.21828430639303392,1.0,0.4286099781907924,-0.18009392244066344,-0.18465508080407836,0.010761416140010749,0.16413830076165253,0.41588364583760473
nikkei,0.07624664556801458,-0.17523686610202746,0.318368445807968,-0.21847007019484227,0.4286099781907924,1.0,-0.16998068315839648,-0.2261791333657843,0.26355031482110064,0.223825277509927,0.4354998529231331
semiconductor,0.4628686865999317,0.7304205150720317,0.07100431520227594,0.9063261566444316,-0.18009392244066344,-0.16998068315839648,1.0,0.8849565764281876,-0.10207397532434384,0.08537574148659836,-0.20218077046701818
sp500,0.46487943311361873,0.9085199772209561,0.005873002012676831,0.9755776077793528,-0.18465508080407836,-0.2261791333657843,0.8849565764281876,1.0,-0.11400147620048702,0.08212424430974857,-0.2793332928728737
saudi,0.09878803047235168,-0.056110324345905425,0.021139308518863205,-0.10274887448007165,0.010761416140010749,0.26355031482110064,-0.10207397532434384,-0.11400147620048702,1.0,-0.048558172503118564,0.2053839834863913
shanghai,-0.053343468229079004,0.12750525277578467,0.4731709341645869,0.05269993050244578,0.16413830076165253,0.223825277509927,0.08537574148659836,0.08212424430974857,-0.048558172503118564,1.0,0.19960237969830463
south_africa,0.02398057867946464,-0.1803212325549479,0.2704467318734273,-0.284605587229064,0.41588364583760473,0.4354998529231331,-0.20218077046701818,-0.2793332928728737,0.2053839834863913,0.19960237969830463,1.0
